SGLT1 | t (second),SGLT1 | alpha (M3),SGLT1 | alpha_p (dimensionless),SGLT1 | beta (M2),SGLT1 | chi (M),SGLT1 | delta (dimensionless),SGLT1 | epsilon (per_second),SGLT1 | F (C_per_mol),SGLT1 | gamma (M3_per_second),SGLT1 | glucose_i (M),SGLT1 | glucose_m (M),SGLT1 | J_Gl_SGLT (umol_per_s),SGLT1 | J_Na_SGLT (umol_per_s),SGLT1 | k0_12 (per_second),SGLT1 | k0_16 (per_second),SGLT1 | k0_21 (per_second),SGLT1 | k0_23 (per_M_per_second),SGLT1 | k0_25 (per_second),SGLT1 | k0_32 (per_second),SGLT1 | k0_34 (per_second),SGLT1 | k0_43 (per_second),SGLT1 | k0_45 (per_second),SGLT1 | k0_52 (per_second),SGLT1 | k0_52' (per_second/second),SGLT1 | k0_54 (per_M_per_second),SGLT1 | k0_56 (per_second),SGLT1 | k0_61 (per_second),SGLT1 | k0_65 (per_M2_per_second),SGLT1 | k_16 (per_second),SGLT1 | k_21 (per_second),SGLT1 | k_25 (per_second),SGLT1 | k_32 (per_second),SGLT1 | k_34 (per_second),SGLT1 | k_43 (per_second),SGLT1 | k_45 (per_second),SGLT1 | k_52 (per_second),SGLT1 | k_54 (per_second),SGLT1 | k_56 (per_second),SGLT1 | k_61 (per_second),SGLT1 | k_65 (per_second),SGLT1 | ks_12 (per_M2_per_second),SGLT1 | lambda (per_M3_per_second5),SGLT1 | mu (dimensionless),SGLT1 | n (dimensionless),SGLT1 | n_SGLT (dimensionless),SGLT1 | Na_i (M),SGLT1 | Na_m (M),SGLT1 | phi (M_per_second),SGLT1 | R (J_per_K_per_mol),SGLT1 | T (kelvin),SGLT1 | v_mc (volt),SGLT1 | z_c (dimensionless),SGLT1 | z_Na (dimensionless)
0,1.67753e-05,0.3,0.000274268,0.000684234,0.7,-1.95527,96485,4.30079e-07,0.003,0.05,1.21501e-10,2.43002e-10,14000,600,300,15000,0.1,20,50,50,6,0.01,0,450,10,25,200,179.737,178.961,0.1,20,50,50,6,0.01,1.35,10,83.4553,0.4418,23468.8,4.50766e+13,-1.72205,2,4e+07,0.047,0.105,-6.16996e-05,8.314,310,-0.046,-2,1
0.1,1.67753e-05,0.3,0.000274268,0.000684234,0.7,-1.95527,96485,4.30079e-07,0.003,0.05,1.21501e-10,2.43002e-10,14000,600,300,15000,0.1,20,50,50,6,0.01,0,450,10,25,200,179.737,178.961,0.1,20,50,50,6,0.01,1.35,10,83.4553,0.4418,23468.8,4.50766e+13,-1.72205,2,4e+07,0.047,0.105,-6.16996e-05,8.314,310,-0.046,-2,1
0.2,1.67753e-05,0.3,0.000274268,0.000684234,0.7,-1.95527,96485,4.30079e-07,0.003,0.05,1.21501e-10,2.43002e-10,14000,600,300,15000,0.1,20,50,50,6,0.01,0,450,10,25,200,179.737,178.961,0.1,20,50,50,6,0.01,1.35,10,83.4553,0.4418,23468.8,4.50766e+13,-1.72205,2,4e+07,0.047,0.105,-6.16996e-05,8.314,310,-0.046,-2,1
0.3,1.67753e-05,0.3,0.000274268,0.000684234,0.7,-1.95527,96485,4.30079e-07,0.003,0.05,1.21501e-10,2.43002e-10,14000,600,300,15000,0.1,20,50,50,6,0.01,0,450,10,25,200,179.737,178.961,0.1,20,50,50,6,0.01,1.35,10,83.4553,0.4418,23468.8,4.50766e+13,-1.72205,2,4e+07,0.047,0.105,-6.16996e-05,8.314,310,-0.046,-2,1
0.4,1.67753e-05,0.3,0.000274268,0.000684234,0.7,-1.95527,96485,4.30079e-07,0.003,0.05,1.21501e-10,2.43002e-10,14000,600,300,15000,0.1,20,50,50,6,0.01,0,450,10,25,200,179.737,178.961,0.1,20,50,50,6,0.01,1.35,10,83.4553,0.4418,23468.8,4.50766e+13,-1.72205,2,4e+07,0.047,0.105,-6.16996e-05,8.314,310,-0.046,-2,1
0.5,1.67753e-05,0.3,0.000274268,0.000684234,0.7,-1.95527,96485,4.30079e-07,0.003,0.05,1.21501e-10,2.43002e-10,14000,600,300,15000,0.1,20,50,50,6,0.01,0,450,10,25,200,179.737,178.961,0.1,20,50,50,6,0.01,1.35,10,83.4553,0.4418,23468.8,4.50766e+13,-1.72205,2,4e+07,0.047,0.105,-6.16996e-05,8.314,310,-0.046,-2,1
0.6,1.67753e-05,0.3,0.000274268,0.000684234,0.7,-1.95527,96485,4.30079e-07,0.003,0.05,1.21501e-10,2.43002e-10,14000,600,300,15000,0.1,20,50,50,6,0.01,0,450,10,25,200,179.737,178.961,0.1,20,50,50,6,0.01,1.35,10,83.4553,0.4418,23468.8,4.50766e+13,-1.72205,2,4e+07,0.047,0.105,-6.16996e-05,8.314,310,-0.046,-2,1
0.7,1.67753e-05,0.3,0.000274268,0.000684234,0.7,-1.95527,96485,4.30079e-07,0.003,0.05,1.21501e-10,2.43002e-10,14000,600,300,15000,0.1,20,50,50,6,0.01,0,450,10,25,200,179.737,178.961,0.1,20,50,50,6,0.01,1.35,10,83.4553,0.4418,23468.8,4.50766e+13,-1.72205,2,4e+07,0.047,0.105,-6.16996e-05,8.314,310,-0.046,-2,1
0.8,1.67753e-05,0.3,0.000274268,0.000684234,0.7,-1.95527,96485,4.30079e-07,0.003,0.05,1.21501e-10,2.43002e-10,14000,600,300,15000,0.1,20,50,50,6,0.01,0,450,10,25,200,179.737,178.961,0.1,20,50,50,6,0.01,1.35,10,83.4553,0.4418,23468.8,4.50766e+13,-1.72205,2,4e+07,0.047,0.105,-6.16996e-05,8.314,310,-0.046,-2,1
0.9,1.67753e-05,0.3,0.000274268,0.000684234,0.7,-1.95527,96485,4.30079e-07,0.003,0.05,1.21501e-10,2.43002e-10,14000,600,300,15000,0.1,20,50,50,6,0.01,0,450,10,25,200,179.737,178.961,0.1,20,50,50,6,0.01,1.35,10,83.4553,0.4418,23468.8,4.50766e+13,-1.72205,2,4e+07,0.047,0.105,-6.16996e-05,8.314,310,-0.046,-2,1
1,1.67753e-05,0.3,0.000274268,0.000684234,0.7,-1.95527,96485,4.30079e-07,0.003,0.05,1.21501e-10,2.43002e-10,14000,600,300,15000,0.1,20,50,50,6,0.01,0,450,10,25,200,179.737,178.961,0.1,20,50,50,6,0.01,1.35,10,83.4553,0.4418,23468.8,4.50766e+13,-1.72205,2,4e+07,0.047,0.105,-6.16996e-05,8.314,310,-0.046,-2,1
